Num, FullName,"[Fe/H] [-]","M* Msun","Per d","msini Msun","a AU"
218,2M13141550+1700169,-0.39993,0.679925,2.2654233,0.00877826,0.02943
219,2M13150364+1806426,-0.810188,0.66242,202.3646,0.0272824,0.57242
220,2M13384893+1840175,-0.48082,0.67534,28.101565,0.0319292,0.1539
221,2M13405513+2709430,-0.705162,1.070719,9.278876,0.0431074,0.08611
222,2M13414217+1805294,-0.35122,0.517885,6.970969,0.0113875,0.05652
223,2M13422439+2851300,-0.906273,1.022078,189.451,0.145249,0.59516
224,2M13423179+1925328,-0.16713,0.497993,36.75999,0.0904939,0.15345
225,2M13424327+1743151,-0.64728,0.57573,110.03985,0.163356,0.31653
226,2M13431527+1910491,-0.17168,0.549312,86.8276,0.571616,0.19535
227,2M13433307+1731175,-0.33661,0.508633,17.755555,0.0434584,0.10068
228,2M13435045+2800384,-1.403748,1.211565,14.86589,0.0188803,0.12484
229,2M13450512+2651051,-0.43357,0.872587,723.81497,0.235887,1.28537
230,2M13454310+1819440,-0.2097,0.745694,11.643003,0.00790465,0.09053
231,2M13454556+1657307,-0.1036,0.826386,90.311402,0.34028,0.29376
232,2M13461152+2653184,-0.49684,0.986529,242.43179,0.0465823,0.73453
233,2M13472690+2744293,0.093077,1.126592,23.932948,0.0570225,0.16364
234,2M13474582+1728364,-0.21081,0.471522,1.386476,0.0029473,0.01886
235,2M13481031+2839466,-0.62131,0.713824,8.5802463,0.253205,0.05987
236,2M13482073+2815549,-0.287057,1.368883,784.83686,0.553949,1.47409
237,2M13483077+1745228,-0.302766,1.063012,12.88066,0.0108792,0.10901
238,2M13501100+1818464,-0.22943,0.973918,0.16821996,0.00478267,0.00589
239,2M14053944+2744230,-0.14883,0.70406,72.510326,0.00769297,0.30057
240,2M15134845+0000312,-0.59444,1.058573,113.08279,0.0854331,0.44289
241,2M15140174+0202231,-0.446325,0.994308,56.639326,0.16782,0.25963
242,2M15142280+0024103,-0.406,0.781189,56.274522,0.0219596,0.25983
243,2M15180278+0030341,-0.401509,1.120738,39.357501,0.144891,0.2169
244,2M15182185+0147091,-0.867587,2.273248,31.432414,0.0613139,0.25178
245,2M16320984-1256246,-0.12755,0.936349,1012.7877,0.340108,1.57055
246,2M16321854-1347536,-0.12651,0.750183,33.514675,0.292297,0.14844
247,2M16325559-1259536,-0.077834,1.157351,841.22014,0.433843,1.48092
248,2M16355605+3552193,-0.815009,1.032602,115.60826,0.114552,0.43764
249,2M16421269+4725456,-0.908089,1.085644,68.00287,0.663053,0.24387
250,2M16434638+3524172,-0.469692,2.132921,13.887922,0.512985,0.12607
251,2M16473251+3727163,-0.43163,1.073087,153.48521,0.309825,0.48501
252,2M16490085+4714427,0.042001,1.030763,528.45382,0.208166,1.14306
253,2M16514260+4703248,-0.22638,1.004057,12.381931,0.607465,0.07651
254,2M17105698+4301117,-0.35673,1.112753,204.67559,0.055309,0.68193
255,2M17123359+4314004,-0.63406,0.760609,9.1091236,0.42928,0.05782
256,2M17134528+4250556,-0.298923,1.734669,88.764259,0.230117,0.43062
257,2M17140626+4307331,-0.56395,1.6,11.985361,0.257772,0.10852
258,2M17150008+4320355,-0.70969,0.961536,127.43936,0.0295588,0.47939
259,2M17172331+4256556,-1.8122,0.982894,3.2836189,0.0560826,0.04143
260,2M17194150+4305034,-0.424296,1.756975,6.933623,0.0101573,0.08554
261,2M17194262+4354561,-0.89701,0.966356,56.385384,0.0106652,0.28244
262,2M17202516+4249416,-0.24117,0.713853,4.3888075,0.00245324,0.04678
263,2M17203378+4327517,-0.669911,1.007229,183.80808,0.389908,0.5099
264,2M17214931+4221402,-0.509694,1.030643,118.58009,0.0454367,0.46362
265,2M18315033-0019362,-0.024954,1.022151,4.4200932,0.00359564,0.05297
266,2M18404988-0205151,0.222242,2.661669,151.6809,0.0651253,0.75905
267,2M18424630-0307505,0.218479,2.388131,482.81329,0.100122,1.56645
268,2M18454048-0205015,-0.019796,1.582466,761.79867,0.280346,1.70627
269,2M18471777-0135164,0.335595,2.245432,410.83553,0.0478728,1.39648
270,2M18481414-0251133,0.173827,1.62468,839.69848,0.134146,1.94222
271,2M18504195-0311203,0.133159,2.994599,16.142685,0.0243718,0.1792
272,2M18512248-0226024,-0.128981,1.518744,205.20677,0.201916,0.72015
273,2M18563573-0353463,0.347955,2.214895,104.61709,0.0142266,0.56398
274,2M18565556-0402568,0.262664,1.405409,190.33645,0.0554856,0.70686
275,2M18575650-0315315,-0.368872,1.347083,117.14867,0.0302012,0.50988
276,2M18580704-0321242,0.094998,1.016556,77.761723,0.173206,0.3228
277,2M18580981-0506126,-0.096588,1.33542,122.78765,0.0558829,0.51806
278,2M18591837-0401083,-0.293204,2.117962,167.7622,0.146307,0.73124
279,2M19033776-0322027,0.197878,2.000553,160.79201,0.119097,0.70158
280,2M19045978-0332034,0.085617,1.6631,156.37384,0.248064,0.61342
281,2M19105197+2845422,0.033204,1.478019,147.11214,0.0695602,0.60249
282,2M19110770+2747154,0.18128,0.719701,26.131148,0.00797048,0.15332
283,2M19114515-0725486,0.062413,1.824372,167.44024,0.236933,0.66968
